District,State,Reference_Year,Population,Rural_Percent,Urban_Percent,Literacy_Percent,Poverty_Percent,Population_Density_per_sq_km,Dataset_Status
AP_District_05,Arunachal Pradesh,2011,812662,58.38,41.62,67.85,24.62,168.02,Synthetic data for visualization practice
AP_District_05,Arunachal Pradesh,2016,849309,62.72,37.28,64.21,17.32,408.23,Synthetic data for visualization practice
AP_District_05,Arunachal Pradesh,2021,883838,47.76,52.24,60.07,28.21,178.41,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2011,2154854,50.42,49.58,75.91,21.84,1141.03,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2016,2318944,50.55,49.45,74.23,22.07,2104.6,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2021,2350538,64.98,35.02,72.03,42.42,1345.67,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2011,916057,57.91,42.09,71.39,14.1,209.06,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2016,982445,61.41,38.59,67.74,20.49,310.62,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2021,1053614,50.83,49.17,61.06,32.02,584.48,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2011,1285685,67.62,32.38,76.27,5.0,1100.06,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2016,1380380,50.06,49.94,71.02,9.12,1893.21,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2021,1440401,50.71,49.29,73.41,30.59,288.67,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2011,701396,48.56,51.44,62.02,10.45,252.89,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2016,736314,72.99,27.01,65.88,14.79,263.85,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2021,796550,55.13,44.87,80.87,22.94,367.35,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2011,2489326,29.6,70.4,75.53,23.28,3769.15,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2016,2643472,51.97,48.03,81.29,19.66,4651.59,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2021,2945716,61.93,38.07,68.61,35.18,3354.97,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2011,1012848,31.91,68.09,59.21,19.43,307.75,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2016,1063025,30.37,69.63,82.36,39.23,417.7,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2021,1209947,58.39,41.61,64.41,22.58,283.11,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2011,2563490,48.18,51.82,81.97,31.39,1058.74,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2016,2787388,47.47,52.53,72.63,30.83,675.92,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2021,3043256,56.52,43.48,92.94,24.55,6653.01,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2011,1567483,28.07,71.93,69.84,19.95,1974.37,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2016,1662385,23.99,76.01,68.87,23.95,1053.11,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2021,1790098,53.72,46.28,64.94,22.09,544.14,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2011,670504,59.02,40.98,74.35,20.67,351.79,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2016,709313,50.87,49.13,69.49,18.62,202.46,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2021,790847,44.71,55.29,66.89,17.69,399.65,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2011,1063102,68.1,31.9,73.77,34.48,285.49,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2016,1109958,83.24,16.76,71.13,22.5,250.63,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2021,1222823,55.04,44.96,66.17,26.7,1645.39,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2011,2959220,61.21,38.79,70.3,26.53,608.78,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2016,3198195,48.06,51.94,96.0,23.25,764.41,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2021,3488907,74.58,25.42,68.85,15.67,1232.85,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2011,2016793,55.3,44.7,73.43,23.86,3148.27,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2016,2194649,71.42,28.58,72.51,15.47,561.11,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2021,2276259,28.2,71.8,55.97,29.35,612.16,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2011,1357860,56.51,43.49,68.4,19.91,1282.3,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2016,1475043,38.39,61.61,69.29,20.84,389.86,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2021,1536774,48.74,51.26,68.2,24.26,449.28,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2011,2474845,34.04,65.96,69.21,22.48,1862.45,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2016,2646138,57.73,42.27,65.18,10.38,737.06,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2021,2876810,72.25,27.75,72.26,24.36,734.86,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2011,293999,60.43,39.57,61.77,20.99,264.77,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2016,312904,54.2,45.8,61.9,23.88,146.77,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2021,328626,71.0,29.0,76.13,28.88,71.36,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2011,2599725,36.72,63.28,67.25,29.21,607.21,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2016,2777697,65.13,34.87,53.25,34.71,1204.4,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2021,2844454,24.5,75.5,74.31,17.49,916.39,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2011,1585802,60.49,39.51,62.47,21.54,474.44,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2016,1707560,69.84,30.16,73.35,11.79,616.43,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2021,1845147,79.69,20.31,45.23,22.51,452.18,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2011,1689711,51.0,49.0,76.97,12.81,382.21,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2016,1802728,40.97,59.03,82.12,9.64,760.48,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2021,2007543,87.16,12.84,65.83,5.0,3142.81,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2011,1363662,66.76,33.24,92.49,33.26,301.32,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2016,1485395,79.36,20.64,68.68,16.73,327.37,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2021,1505012,48.02,51.98,69.9,27.85,1182.34,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2011,697215,58.14,41.86,72.65,17.57,297.71,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2016,753896,75.86,24.14,64.98,22.71,596.76,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2021,800075,54.77,45.23,71.66,11.51,287.17,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2011,398522,63.33,36.67,61.32,22.08,279.08,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2016,422484,60.48,39.52,83.52,12.58,104.51,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2021,460251,59.26,40.74,65.05,8.29,162.79,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2011,2903032,61.04,38.96,73.95,25.24,629.83,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2016,3165948,56.24,43.76,87.69,23.14,7683.85,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2021,3348437,51.73,48.27,68.08,23.67,1276.86,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2011,763318,43.14,56.86,72.97,26.67,169.98,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2016,834444,63.86,36.14,73.08,14.05,906.48,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2021,910089,70.68,29.32,71.48,5.0,1881.51,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2011,2447118,43.93,56.07,70.86,18.12,1699.82,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2016,2607848,51.33,48.67,65.41,12.97,632.0,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2021,2770671,57.01,42.99,66.75,17.8,758.91,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2011,1715580,55.13,44.87,74.12,15.72,1695.87,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2016,1858030,30.06,69.94,71.94,14.39,434.33,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2021,2006475,46.82,53.18,61.05,32.59,1454.24,Synthetic data for visualization practice
A_District_01,Assam,2011,648003,63.9,36.1,69.44,34.0,181.55,Synthetic data for visualization practice
A_District_01,Assam,2016,696485,39.67,60.33,76.42,11.79,159.87,Synthetic data for visualization practice
A_District_01,Assam,2021,748043,42.63,57.37,79.24,39.93,219.61,Synthetic data for visualization practice
A_District_02,Assam,2011,2247216,48.52,51.48,72.77,9.94,5609.98,Synthetic data for visualization practice
A_District_02,Assam,2016,2368578,81.98,18.02,55.84,19.75,511.83,Synthetic data for visualization practice
A_District_02,Assam,2021,2545855,52.43,47.57,64.5,14.54,672.42,Synthetic data for visualization practice
A_District_03,Assam,2011,1349857,56.77,43.23,64.91,18.16,370.88,Synthetic data for visualization practice
A_District_03,Assam,2016,1440383,47.07,52.93,62.44,22.69,1069.8,Synthetic data for visualization practice
A_District_03,Assam,2021,1499661,45.85,54.15,70.89,5.59,543.52,Synthetic data for visualization practice
A_District_04,Assam,2011,406612,41.0,59.0,65.23,18.72,138.46,Synthetic data for visualization practice
A_District_04,Assam,2016,443210,41.08,58.92,67.34,18.06,120.33,Synthetic data for visualization practice
A_District_04,Assam,2021,440833,56.39,43.61,76.83,17.23,148.38,Synthetic data for visualization practice
A_District_05,Assam,2011,796797,51.56,48.44,83.09,18.6,275.38,Synthetic data for visualization practice
A_District_05,Assam,2016,864923,43.52,56.48,77.94,15.01,1106.38,Synthetic data for visualization practice
A_District_05,Assam,2021,910752,41.9,58.1,71.36,17.61,690.89,Synthetic data for visualization practice
A_District_06,Assam,2011,1238660,49.44,50.56,76.8,22.2,376.33,Synthetic data for visualization practice
A_District_06,Assam,2016,1321662,42.14,57.86,75.02,19.69,738.81,Synthetic data for visualization practice
A_District_06,Assam,2021,1424242,56.49,43.51,69.95,32.72,371.65,Synthetic data for visualization practice
A_District_07,Assam,2011,674262,58.17,41.83,66.71,14.62,136.1,Synthetic data for visualization practice
A_District_07,Assam,2016,717961,51.68,48.32,75.02,22.46,464.06,Synthetic data for visualization practice
A_District_07,Assam,2021,775399,60.66,39.34,65.46,5.0,461.13,Synthetic data for visualization practice
A_District_08,Assam,2011,2831175,45.16,54.84,79.12,31.59,734.48,Synthetic data for visualization practice
A_District_08,Assam,2016,3040444,29.26,70.74,65.55,29.26,1117.96,Synthetic data for visualization practice
A_District_08,Assam,2021,3308636,57.0,43.0,91.73,18.56,1588.37,Synthetic data for visualization practice
A_District_09,Assam,2011,2630986,36.63,63.37,73.66,18.85,1192.51,Synthetic data for visualization practice
A_District_09,Assam,2016,2839604,60.68,39.32,82.98,16.64,2120.94,Synthetic data for visualization practice
A_District_09,Assam,2021,3069931,54.42,45.58,70.33,14.33,713.79,Synthetic data for visualization practice
A_District_10,Assam,2011,1962864,76.39,23.61,72.11,27.19,1738.71,Synthetic data for visualization practice
A_District_10,Assam,2016,2124406,60.51,39.49,89.35,24.01,431.29,Synthetic data for visualization practice
A_District_10,Assam,2021,2282963,59.61,40.39,73.68,26.38,483.41,Synthetic data for visualization practice
A_District_11,Assam,2011,2239024,52.24,47.76,68.48,32.37,1154.18,Synthetic data for visualization practice
A_District_11,Assam,2016,2415478,66.94,33.06,59.22,6.58,696.88,Synthetic data for visualization practice
A_District_11,Assam,2021,2427025,62.09,37.91,68.02,10.92,803.8,Synthetic data for visualization practice
A_District_12,Assam,2011,1826376,35.91,64.09,74.76,18.3,404.37,Synthetic data for visualization practice
A_District_12,Assam,2016,1913405,60.8,39.2,76.5,19.25,1886.81,Synthetic data for visualization practice
A_District_12,Assam,2021,2132313,18.57,81.43,77.82,23.2,829.02,Synthetic data for visualization practice
A_District_13,Assam,2011,660925,38.63,61.37,78.7,10.76,348.54,Synthetic data for visualization practice
A_District_13,Assam,2016,707031,45.56,54.44,63.64,29.25,993.01,Synthetic data for visualization practice
A_District_13,Assam,2021,766807,67.73,32.27,69.92,20.36,164.96,Synthetic data for visualization practice
A_District_14,Assam,2011,743966,47.08,52.92,68.1,26.8,894.07,Synthetic data for visualization practice
A_District_14,Assam,2016,799712,81.91,18.09,65.65,7.3,431.48,Synthetic data for visualization practice
A_District_14,Assam,2021,808469,50.89,49.11,56.07,14.81,211.34,Synthetic data for visualization practice
A_District_15,Assam,2011,224808,56.35,43.65,83.16,27.42,47.88,Synthetic data for visualization practice
A_District_15,Assam,2016,237345,56.68,43.32,71.12,21.82,60.03,Synthetic data for visualization practice
A_District_15,Assam,2021,256813,52.26,47.74,82.66,16.37,73.75,Synthetic data for visualization practice
A_District_16,Assam,2011,1015973,38.04,61.96,56.49,19.24,511.12,Synthetic data for visualization practice
A_District_16,Assam,2016,1070646,57.68,42.32,52.83,25.51,387.8,Synthetic data for visualization practice
A_District_16,Assam,2021,1116993,57.7,42.3,73.53,13.52,500.45,Synthetic data for visualization practice
A_District_17,Assam,2011,1860584,41.99,58.01,70.4,28.84,2205.83,Synthetic data for visualization practice
A_District_17,Assam,2016,1948231,82.15,17.85,77.21,16.58,575.46,Synthetic data for visualization practice
A_District_17,Assam,2021,2209797,46.49,53.51,85.71,10.73,553.7,Synthetic data for visualization practice
A_District_18,Assam,2011,836588,65.28,34.72,60.02,11.75,226.75,Synthetic data for visualization practice
A_District_18,Assam,2016,909385,58.39,41.61,60.55,15.02,212.39,Synthetic data for visualization practice
A_District_18,Assam,2021,913097,84.77,15.23,63.6,14.18,465.07,Synthetic data for visualization practice
A_District_19,Assam,2011,888433,41.56,58.44,68.73,15.67,218.26,Synthetic data for visualization practice
A_District_19,Assam,2016,935316,63.26,36.74,71.16,16.68,224.85,Synthetic data for visualization practice
A_District_19,Assam,2021,1017384,65.19,34.81,67.81,31.71,1027.76,Synthetic data for visualization practice
A_District_20,Assam,2011,2750373,59.44,40.56,70.41,14.36,1676.85,Synthetic data for visualization practice
A_District_20,Assam,2016,2962263,47.38,52.62,75.96,13.34,1542.58,Synthetic data for visualization practice
A_District_20,Assam,2021,2983100,36.97,63.03,69.98,29.45,788.76,Synthetic data for visualization practice
A_District_21,Assam,2011,1983524,87.0,13.0,65.95,25.96,497.56,Synthetic data for visualization practice
A_District_21,Assam,2016,2145065,57.42,42.58,67.97,19.14,800.72,Synthetic data for visualization practice
A_District_21,Assam,2021,2148602,68.49,31.51,72.52,30.72,723.6,Synthetic data for visualization practice
A_District_22,Assam,2011,1827430,45.58,54.42,67.62,10.24,1699.9,Synthetic data for visualization practice
A_District_22,Assam,2016,1962439,80.73,19.27,76.75,15.08,411.95,Synthetic data for visualization practice
A_District_22,Assam,2021,2037274,67.18,32.82,70.01,26.34,1256.34,Synthetic data for visualization practice
A_District_23,Assam,2011,2645214,79.06,20.94,61.99,28.35,932.02,Synthetic data for visualization practice
A_District_23,Assam,2016,2779082,47.01,52.99,69.83,24.04,812.16,Synthetic data for visualization practice
A_District_23,Assam,2021,3112026,76.12,23.88,74.99,35.71,3052.04,Synthetic data for visualization practice
A_District_24,Assam,2011,763082,61.43,38.57,67.06,23.45,463.28,Synthetic data for visualization practice
