District,State,Reference_Year,Food_Insecurity_Percent,Child_Stunting_Percent,Child_Wasting_Percent,Anaemia_Percent,Poverty_Percent,Nutrition_Score,Dataset_Status
AP_District_11,Andhra Pradesh,2021,17.2,30.51,12.46,55.6,20.02,58.9,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2019,16.87,34.46,13.63,51.43,20.29,57.47,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2020,23.99,29.83,17.92,48.13,21.64,53.29,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2021,24.06,37.19,16.44,54.84,22.43,49.0,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2019,15.56,29.4,14.39,48.28,19.84,61.3,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2020,11.7,30.0,14.29,50.76,15.97,63.74,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2021,22.86,36.14,16.48,56.4,28.37,50.23,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2019,28.39,34.95,18.18,61.71,41.35,45.1,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2020,19.18,32.17,12.02,60.41,16.02,55.9,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2021,19.84,40.02,16.61,54.84,30.23,50.91,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2019,21.82,31.36,16.91,58.56,27.09,53.01,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2020,18.98,32.96,14.57,47.67,26.08,56.82,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2021,17.32,21.12,14.84,50.87,15.68,63.5,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2019,21.5,32.24,15.66,59.66,22.76,53.04,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2020,22.63,30.47,16.39,61.32,22.98,52.54,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2021,29.71,35.29,13.98,56.34,30.84,45.94,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2019,21.93,29.57,17.4,50.13,26.59,54.93,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2020,32.74,41.47,19.64,60.82,31.22,38.05,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2021,10.93,23.64,9.11,57.72,10.43,68.04,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2019,18.51,31.49,17.04,53.87,22.61,56.26,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2020,19.43,31.32,11.34,44.74,23.67,58.68,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2021,17.14,26.28,14.2,53.41,18.12,60.88,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2019,16.42,32.58,11.22,53.46,14.9,59.19,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2020,24.99,35.36,15.08,55.1,28.47,49.54,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2021,21.11,36.13,15.61,59.81,24.59,51.4,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2019,26.17,33.17,12.02,66.73,30.1,48.87,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2020,16.38,28.15,16.02,51.25,26.4,60.33,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2021,22.76,30.33,13.7,57.85,21.02,53.84,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2019,23.68,35.82,17.14,56.1,25.36,49.58,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2020,19.6,33.64,16.83,57.52,22.33,53.82,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2021,16.78,31.5,14.13,53.87,22.2,58.51,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2019,18.03,36.19,14.75,65.41,17.74,53.25,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2020,18.29,28.87,13.69,55.13,18.76,58.55,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2021,22.99,39.68,15.51,55.28,27.33,48.82,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2019,17.13,28.65,11.93,57.82,22.35,59.72,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2020,16.75,30.96,16.02,48.66,17.04,59.02,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2021,14.3,32.27,14.41,47.25,12.06,61.01,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2019,15.9,26.97,17.23,55.5,19.02,60.3,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2020,26.4,47.77,12.33,55.47,28.46,42.98,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2021,15.4,26.16,13.1,45.93,19.92,63.78,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2019,22.73,36.53,17.19,54.91,25.98,50.15,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2020,29.96,31.03,14.98,52.77,40.47,48.11,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2021,20.79,31.56,20.23,58.26,25.74,52.78,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2019,11.96,28.73,13.42,40.49,14.47,65.97,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2020,17.89,30.98,12.44,50.93,19.72,58.83,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2021,18.13,34.39,17.24,52.32,19.75,55.28,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2019,24.66,33.82,18.14,62.92,28.77,48.48,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2020,31.45,35.83,17.9,62.5,34.75,42.19,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2021,18.81,26.4,14.93,50.39,25.02,59.71,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2019,14.12,30.71,13.91,54.08,18.95,61.06,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2020,29.73,40.29,14.74,54.89,39.81,43.42,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2021,23.8,30.92,15.85,57.02,35.59,52.19,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2019,20.65,30.13,11.68,60.13,18.1,55.9,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2020,18.16,25.66,12.68,53.53,23.68,60.8,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2021,19.51,32.39,16.57,42.77,28.4,56.81,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2019,15.58,31.55,16.61,54.88,13.78,58.55,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2020,7.63,26.75,11.42,49.34,5.42,69.7,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2021,24.0,34.34,11.38,55.32,27.58,51.92,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2019,15.12,33.95,14.1,36.51,11.32,61.23,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2020,18.16,29.8,9.58,59.98,10.0,58.7,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2021,20.79,34.54,16.34,57.33,19.04,52.6,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2019,32.64,33.63,19.28,68.93,41.33,40.95,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2020,24.31,40.03,18.4,70.67,33.8,44.41,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2021,16.55,29.88,12.91,48.31,20.14,60.7,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2019,17.71,29.77,19.27,53.58,17.46,57.13,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2020,24.03,38.52,16.71,64.47,29.54,46.83,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2021,19.98,34.46,14.27,57.01,20.9,53.95,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2019,19.05,37.51,17.61,54.44,19.63,52.55,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2020,11.3,19.34,16.5,50.19,5.0,68.81,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2021,19.98,26.78,15.65,54.82,28.52,57.71,Synthetic data for visualization practice
AP_District_05,Arunachal Pradesh,2019,26.11,39.7,19.15,63.19,19.66,44.03,Synthetic data for visualization practice
AP_District_05,Arunachal Pradesh,2020,22.61,26.22,15.18,60.76,29.42,55.14,Synthetic data for visualization practice
AP_District_05,Arunachal Pradesh,2021,13.22,26.51,17.06,54.34,12.28,62.9,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2019,22.09,34.94,12.56,45.43,27.64,54.27,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2020,21.36,38.59,19.27,63.73,24.34,48.28,Synthetic data for visualization practice
AP_District_06,Arunachal Pradesh,2021,14.91,32.12,20.06,59.09,16.31,57.13,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2019,14.14,32.94,10.78,50.0,17.81,61.48,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2020,22.62,33.02,9.56,59.23,19.72,53.64,Synthetic data for visualization practice
AP_District_07,Arunachal Pradesh,2021,15.72,30.3,13.25,56.17,15.63,59.87,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2019,19.83,30.45,10.94,58.23,19.59,56.9,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2020,23.96,27.33,17.75,49.27,31.08,54.45,Synthetic data for visualization practice
AP_District_08,Arunachal Pradesh,2021,18.29,27.42,13.47,52.97,25.38,59.67,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2019,20.68,37.3,15.87,51.96,27.31,52.25,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2020,11.48,29.48,11.98,37.6,17.13,66.85,Synthetic data for visualization practice
AP_District_09,Arunachal Pradesh,2021,14.99,36.55,9.49,44.54,19.44,60.21,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2019,23.78,32.55,17.49,45.82,34.57,52.58,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2020,12.78,35.23,12.11,50.81,12.04,60.91,Synthetic data for visualization practice
AP_District_10,Arunachal Pradesh,2021,31.47,37.0,17.83,71.57,33.01,40.23,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2019,18.63,32.66,14.05,49.32,26.71,57.15,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2020,14.78,34.11,13.37,51.96,12.63,59.32,Synthetic data for visualization practice
AP_District_11,Arunachal Pradesh,2021,17.02,34.32,16.3,66.08,23.51,54.42,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2019,17.97,35.16,13.16,51.67,15.75,56.35,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2020,17.03,29.72,14.48,58.05,22.75,58.46,Synthetic data for visualization practice
AP_District_12,Arunachal Pradesh,2021,9.57,19.6,9.24,41.66,14.73,73.52,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2019,11.22,25.07,11.7,55.9,11.5,66.59,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2020,20.5,31.43,14.04,56.96,24.46,55.13,Synthetic data for visualization practice
AP_District_13,Arunachal Pradesh,2021,17.43,31.73,9.28,54.39,23.91,59.25,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2019,24.58,31.99,16.69,57.8,22.06,50.66,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2020,19.48,33.14,16.99,61.55,23.31,53.52,Synthetic data for visualization practice
AP_District_14,Arunachal Pradesh,2021,22.65,31.65,17.58,52.91,24.0,52.85,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2019,27.73,28.48,15.56,66.18,38.36,48.98,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2020,22.46,38.39,16.83,62.69,26.76,48.38,Synthetic data for visualization practice
AP_District_15,Arunachal Pradesh,2021,27.69,38.67,19.19,58.46,29.32,43.99,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2019,24.68,38.79,16.48,55.11,30.97,47.65,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2020,21.81,36.22,11.17,55.1,19.09,52.83,Synthetic data for visualization practice
AP_District_16,Arunachal Pradesh,2021,23.68,27.82,20.65,60.8,31.49,51.83,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2019,19.12,30.35,17.65,57.14,16.13,55.67,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2020,18.68,31.57,17.28,49.82,20.44,56.61,Synthetic data for visualization practice
AP_District_17,Arunachal Pradesh,2021,12.9,31.62,14.43,52.42,7.38,61.68,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2019,23.01,32.71,14.97,67.06,29.35,50.69,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2020,14.93,23.5,13.46,49.54,11.69,64.84,Synthetic data for visualization practice
AP_District_18,Arunachal Pradesh,2021,13.25,27.77,8.06,54.81,9.24,64.87,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2019,27.74,37.44,20.26,68.45,35.76,42.74,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2020,22.47,35.16,16.72,47.56,33.26,52.29,Synthetic data for visualization practice
AP_District_19,Arunachal Pradesh,2021,29.56,40.82,21.07,62.13,28.61,40.31,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2019,18.97,28.58,17.91,61.19,26.22,55.98,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2020,19.04,32.13,15.61,56.68,16.61,55.52,Synthetic data for visualization practice
AP_District_20,Arunachal Pradesh,2021,24.03,40.86,16.78,60.74,30.51,46.2,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2019,30.59,41.68,13.63,57.77,40.33,41.94,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2020,26.5,28.92,19.22,56.5,33.88,50.1,Synthetic data for visualization practice
AP_District_21,Arunachal Pradesh,2021,26.04,37.14,19.46,54.44,35.1,46.6,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2019,22.42,29.01,11.44,60.69,23.53,55.02,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2020,17.2,24.03,12.6,53.14,20.68,62.47,Synthetic data for visualization practice
AP_District_22,Arunachal Pradesh,2021,21.97,40.71,13.78,52.86,31.42,50.01,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2019,20.06,32.41,18.4,62.37,26.75,52.87,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2020,17.63,32.06,11.94,53.18,19.56,58.31,Synthetic data for visualization practice
AP_District_23,Arunachal Pradesh,2021,24.34,40.22,15.26,56.75,25.31,47.33,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2019,20.49,32.92,12.7,50.53,21.31,55.76,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2020,26.07,42.9,15.23,60.4,35.53,44.06,Synthetic data for visualization practice
AP_District_24,Arunachal Pradesh,2021,27.01,29.27,19.97,55.42,42.15,49.45,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2019,17.96,28.08,14.04,55.93,18.47,58.99,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2020,13.43,28.0,9.79,48.62,15.52,65.02,Synthetic data for visualization practice
AP_District_25,Arunachal Pradesh,2021,18.67,31.19,14.62,50.86,23.41,57.45,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2019,23.77,37.01,15.34,59.28,33.03,48.98,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2020,27.19,29.86,17.93,65.84,33.93,48.06,Synthetic data for visualization practice
AP_District_26,Arunachal Pradesh,2021,21.77,31.21,11.73,56.86,21.42,54.93,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2019,22.33,26.64,12.38,51.35,20.85,57.4,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2020,18.05,37.52,16.9,56.21,22.08,53.3,Synthetic data for visualization practice
AP_District_27,Arunachal Pradesh,2021,21.13,30.17,17.43,50.17,23.55,55.26,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2019,22.79,33.83,16.7,42.51,27.56,53.47,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2020,18.42,31.93,16.37,53.6,21.37,56.35,Synthetic data for visualization practice
AP_District_28,Arunachal Pradesh,2021,12.78,29.3,13.48,51.12,11.28,63.42,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2019,14.13,34.93,9.2,52.08,12.0,60.66,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2020,14.41,26.31,13.18,60.58,15.5,62.27,Synthetic data for visualization practice
AP_District_29,Arunachal Pradesh,2021,9.4,21.96,16.67,45.8,10.75,69.62,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2019,15.56,29.61,20.03,59.07,20.71,57.88,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2020,18.6,28.9,10.21,59.19,17.56,58.73,Synthetic data for visualization practice
AP_District_30,Arunachal Pradesh,2021,27.54,35.27,16.47,63.65,31.65,45.84,Synthetic data for visualization practice
A_District_01,Assam,2019,11.08,28.55,15.47,43.22,16.25,65.74,Synthetic data for visualization practice
A_District_01,Assam,2020,20.91,36.5,17.41,52.12,23.48,51.98,Synthetic data for visualization practice
A_District_01,Assam,2021,9.63,30.85,11.05,44.79,7.69,66.84,Synthetic data for visualization practice
A_District_02,Assam,2019,29.63,41.38,19.83,64.14,36.64,40.04,Synthetic data for visualization practice
A_District_02,Assam,2020,18.97,30.72,21.33,57.11,22.66,54.5,Synthetic data for visualization practice
A_District_02,Assam,2021,20.01,28.96,18.76,51.7,21.12,56.12,Synthetic data for visualization practice
A_District_03,Assam,2019,25.03,36.15,16.29,57.99,30.69,48.32,Synthetic data for visualization practice
A_District_03,Assam,2020,16.21,36.83,13.78,48.6,19.19,57.19,Synthetic data for visualization practice
A_District_03,Assam,2021,21.09,36.3,16.67,54.42,19.61,51.81,Synthetic data for visualization practice
A_District_04,Assam,2019,15.37,34.33,16.03,47.08,16.64,58.66,Synthetic data for visualization practice
A_District_04,Assam,2020,15.66,37.52,9.13,53.57,15.16,57.94,Synthetic data for visualization practice
A_District_04,Assam,2021,11.43,26.83,11.81,46.76,11.51,66.89,Synthetic data for visualization practice
A_District_05,Assam,2019,10.84,31.08,14.59,53.26,14.96,63.42,Synthetic data for visualization practice
A_District_05,Assam,2020,12.25,31.44,10.49,50.01,7.92,63.83,Synthetic data for visualization practice
A_District_05,Assam,2021,22.37,42.0,11.43,69.01,17.89,47.32,Synthetic data for visualization practice
A_District_06,Assam,2019,24.35,31.41,17.32,57.29,26.25,51.03,Synthetic data for visualization practice
A_District_06,Assam,2020,20.49,38.05,15.31,54.48,23.26,51.82,Synthetic data for visualization practice
A_District_06,Assam,2021,23.62,37.92,14.24,52.13,27.05,50.05,Synthetic data for visualization practice
A_District_07,Assam,2019,17.89,35.74,14.08,60.78,15.5,54.48,Synthetic data for visualization practice
A_District_07,Assam,2020,23.92,31.87,19.92,57.24,29.43,50.37,Synthetic data for visualization practice
A_District_07,Assam,2021,17.38,28.0,10.67,56.46,20.73,60.42,Synthetic data for visualization practice
A_District_08,Assam,2019,28.3,32.53,18.35,68.04,44.65,45.38,Synthetic data for visualization practice
A_District_08,Assam,2020,21.74,26.58,13.74,50.76,23.68,57.58,Synthetic data for visualization practice
A_District_08,Assam,2021,12.83,20.09,9.9,47.65,9.96,69.57,Synthetic data for visualization practice
A_District_09,Assam,2019,20.44,36.82,16.99,60.99,22.77,50.99,Synthetic data for visualization practice
A_District_09,Assam,2020,18.9,34.44,15.08,52.3,19.99,55.29,Synthetic data for visualization practice
A_District_09,Assam,2021,14.27,31.53,13.33,47.96,17.67,61.63,Synthetic data for visualization practice
A_District_10,Assam,2019,19.67,33.13,12.76,58.83,17.69,55.05,Synthetic data for visualization practice
A_District_10,Assam,2020,15.01,34.34,12.41,49.72,22.24,59.64,Synthetic data for visualization practice
A_District_10,Assam,2021,24.98,35.82,13.25,60.96,26.46,48.99,Synthetic data for visualization practice
A_District_11,Assam,2019,27.56,28.22,17.78,69.64,37.38,48.07,Synthetic data for visualization practice
A_District_11,Assam,2020,31.85,35.44,20.24,59.09,35.2,41.86,Synthetic data for visualization practice
A_District_11,Assam,2021,17.34,28.96,12.64,57.76,25.74,59.19,Synthetic data for visualization practice
A_District_12,Assam,2019,16.62,29.9,12.29,57.15,24.86,59.49,Synthetic data for visualization practice
A_District_12,Assam,2020,27.31,34.0,9.98,50.92,31.17,50.51,Synthetic data for visualization practice
A_District_12,Assam,2021,23.88,32.13,20.08,63.85,32.88,49.23,Synthetic data for visualization practice
A_District_13,Assam,2019,18.94,33.33,18.73,56.42,22.43,54.1,Synthetic data for visualization practice
A_District_13,Assam,2020,26.77,32.04,18.58,57.93,29.56,48.3,Synthetic data for visualization practice
A_District_13,Assam,2021,4.39,20.34,12.43,45.42,6.87,75.77,Synthetic data for visualization practice
A_District_14,Assam,2019,22.12,34.06,16.29,52.7,34.41,52.48,Synthetic data for visualization practice
A_District_14,Assam,2020,13.72,35.19,11.73,61.08,20.95,58.75,Synthetic data for visualization practice
A_District_14,Assam,2021,21.37,33.54,15.27,52.97,20.53,53.6,Synthetic data for visualization practice
A_District_15,Assam,2019,19.4,32.17,13.32,66.11,26.81,54.49,Synthetic data for visualization practice
A_District_15,Assam,2020,24.81,34.87,16.85,51.52,23.96,49.93,Synthetic data for visualization practice
A_District_15,Assam,2021,19.43,39.03,15.41,61.55,21.46,51.08,Synthetic data for visualization practice
A_District_16,Assam,2019,25.24,45.45,15.1,54.58,33.49,44.37,Synthetic data for visualization practice
A_District_16,Assam,2020,21.49,37.1,14.54,62.21,13.63,50.57,Synthetic data for visualization practice
A_District_16,Assam,2021,27.7,31.05,16.26,57.69,26.92,48.78,Synthetic data for visualization practice
A_District_17,Assam,2019,23.14,37.69,21.69,55.28,30.83,47.84,Synthetic data for visualization practice
A_District_17,Assam,2020,18.61,36.18,13.23,50.94,20.46,55.41,Synthetic data for visualization practice
A_District_17,Assam,2021,25.08,27.61,13.21,65.81,30.8,52.3,Synthetic data for visualization practice
A_District_18,Assam,2019,14.04,29.78,15.35,44.33,13.73,62.63,Synthetic data for visualization practice
A_District_18,Assam,2020,15.07,29.89,15.2,45.65,13.18,61.6,Synthetic data for visualization practice
A_District_18,Assam,2021,22.14,36.12,15.88,55.91,21.57,51.08,Synthetic data for visualization practice
A_District_19,Assam,2019,23.8,34.61,13.73,55.01,23.67,51.29,Synthetic data for visualization practice
A_District_19,Assam,2020,19.95,34.91,16.29,59.41,25.58,52.78,Synthetic data for visualization practice
A_District_19,Assam,2021,28.77,34.08,14.93,60.32,34.14,46.42,Synthetic data for visualization practice
A_District_20,Assam,2019,14.49,28.07,11.94,49.84,16.04,63.31,Synthetic data for visualization practice
A_District_20,Assam,2020,25.34,45.82,16.76,57.02,32.25,43.24,Synthetic data for visualization practice
A_District_20,Assam,2021,20.99,35.28,20.44,51.42,24.03,51.72,Synthetic data for visualization practice
A_District_21,Assam,2019,16.87,34.36,17.39,48.68,26.52,56.8,Synthetic data for visualization practice
A_District_21,Assam,2020,15.58,25.53,16.51,49.79,25.01,62.35,Synthetic data for visualization practice
A_District_21,Assam,2021,17.21,29.37,13.12,56.88,17.31,59.08,Synthetic data for visualization practice
A_District_22,Assam,2019,18.42,36.01,17.7,50.65,19.93,54.35,Synthetic data for visualization practice
A_District_22,Assam,2020,22.7,41.79,12.84,63.4,32.82,47.58,Synthetic data for visualization practice
A_District_22,Assam,2021,24.96,38.09,13.7,55.61,21.67,48.54,Synthetic data for visualization practice
A_District_23,Assam,2019,24.8,35.82,18.1,58.78,32.74,48.01,Synthetic data for visualization practice
A_District_23,Assam,2020,13.54,30.39,16.42,58.88,16.32,60.22,Synthetic data for visualization practice
A_District_23,Assam,2021,24.82,38.65,14.54,57.37,30.83,47.85,Synthetic data for visualization practice
