Year,Commodity,Food_Group,Supply_Chain_Stage,Loss_Percentage,Dataset_Status
2015,Mango,Fruits,Transport,3.33,Synthetic data for visualization practice
2015,Mango,Fruits,Market,2.59,Synthetic data for visualization practice
2015,Banana,Fruits,Harvest,4.11,Synthetic data for visualization practice
2015,Banana,Fruits,Handling,3.23,Synthetic data for visualization practice
2015,Banana,Fruits,Storage,4.69,Synthetic data for visualization practice
2015,Banana,Fruits,Transport,3.62,Synthetic data for visualization practice
2015,Banana,Fruits,Market,2.96,Synthetic data for visualization practice
2015,Apple,Fruits,Harvest,5.61,Synthetic data for visualization practice
2015,Apple,Fruits,Handling,4.66,Synthetic data for visualization practice
2015,Apple,Fruits,Storage,6.28,Synthetic data for visualization practice
2015,Apple,Fruits,Transport,5.22,Synthetic data for visualization practice
2015,Apple,Fruits,Market,4.08,Synthetic data for visualization practice
2015,Guava,Fruits,Harvest,5.97,Synthetic data for visualization practice
2015,Guava,Fruits,Handling,4.56,Synthetic data for visualization practice
2015,Guava,Fruits,Storage,6.63,Synthetic data for visualization practice
2015,Guava,Fruits,Transport,5.58,Synthetic data for visualization practice
2015,Guava,Fruits,Market,4.4,Synthetic data for visualization practice
2015,Papaya,Fruits,Harvest,5.05,Synthetic data for visualization practice
2015,Papaya,Fruits,Handling,3.96,Synthetic data for visualization practice
2015,Papaya,Fruits,Storage,5.73,Synthetic data for visualization practice
2015,Papaya,Fruits,Transport,4.32,Synthetic data for visualization practice
2015,Papaya,Fruits,Market,3.36,Synthetic data for visualization practice
2015,Orange,Fruits,Harvest,3.91,Synthetic data for visualization practice
2015,Orange,Fruits,Handling,3.42,Synthetic data for visualization practice
2015,Orange,Fruits,Storage,4.48,Synthetic data for visualization practice
2015,Orange,Fruits,Transport,3.78,Synthetic data for visualization practice
2015,Orange,Fruits,Market,3.37,Synthetic data for visualization practice
2015,Tomato,Vegetables,Harvest,6.55,Synthetic data for visualization practice
2015,Tomato,Vegetables,Handling,4.86,Synthetic data for visualization practice
2015,Tomato,Vegetables,Storage,7.16,Synthetic data for visualization practice
2015,Tomato,Vegetables,Transport,5.7,Synthetic data for visualization practice
2015,Tomato,Vegetables,Market,4.58,Synthetic data for visualization practice
2015,Potato,Vegetables,Harvest,4.97,Synthetic data for visualization practice
2015,Potato,Vegetables,Handling,4.43,Synthetic data for visualization practice
2015,Potato,Vegetables,Storage,6.18,Synthetic data for visualization practice
2015,Potato,Vegetables,Transport,4.89,Synthetic data for visualization practice
2015,Potato,Vegetables,Market,3.6,Synthetic data for visualization practice
2015,Onion,Vegetables,Harvest,6.17,Synthetic data for visualization practice
2015,Onion,Vegetables,Handling,5.1,Synthetic data for visualization practice
2015,Onion,Vegetables,Storage,7.15,Synthetic data for visualization practice
2015,Onion,Vegetables,Transport,6.28,Synthetic data for visualization practice
2015,Onion,Vegetables,Market,4.56,Synthetic data for visualization practice
2015,Cauliflower,Vegetables,Harvest,4.35,Synthetic data for visualization practice
2015,Cauliflower,Vegetables,Handling,3.5,Synthetic data for visualization practice
2015,Cauliflower,Vegetables,Storage,5.21,Synthetic data for visualization practice
2015,Cauliflower,Vegetables,Transport,4.22,Synthetic data for visualization practice
2015,Cauliflower,Vegetables,Market,3.24,Synthetic data for visualization practice
2015,Cabbage,Vegetables,Harvest,4.06,Synthetic data for visualization practice
2015,Cabbage,Vegetables,Handling,3.33,Synthetic data for visualization practice
2015,Cabbage,Vegetables,Storage,4.71,Synthetic data for visualization practice
2015,Cabbage,Vegetables,Transport,3.97,Synthetic data for visualization practice
2015,Cabbage,Vegetables,Market,2.85,Synthetic data for visualization practice
2015,Okra,Vegetables,Harvest,5.75,Synthetic data for visualization practice
2015,Okra,Vegetables,Handling,4.28,Synthetic data for visualization practice
2015,Okra,Vegetables,Storage,6.33,Synthetic data for visualization practice
2015,Okra,Vegetables,Transport,5.5,Synthetic data for visualization practice
2015,Okra,Vegetables,Market,4.47,Synthetic data for visualization practice
2015,Groundnut,Oilseeds,Harvest,3.32,Synthetic data for visualization practice
2015,Groundnut,Oilseeds,Handling,2.18,Synthetic data for visualization practice
2015,Groundnut,Oilseeds,Storage,2.69,Synthetic data for visualization practice
2015,Groundnut,Oilseeds,Transport,1.89,Synthetic data for visualization practice
2015,Groundnut,Oilseeds,Market,1.97,Synthetic data for visualization practice
2015,Soybean,Oilseeds,Harvest,2.27,Synthetic data for visualization practice
2015,Soybean,Oilseeds,Handling,1.75,Synthetic data for visualization practice
2015,Soybean,Oilseeds,Storage,2.66,Synthetic data for visualization practice
2015,Soybean,Oilseeds,Transport,2.49,Synthetic data for visualization practice
2015,Soybean,Oilseeds,Market,1.78,Synthetic data for visualization practice
2015,Mustard,Oilseeds,Harvest,1.85,Synthetic data for visualization practice
2015,Mustard,Oilseeds,Handling,1.27,Synthetic data for visualization practice
2015,Mustard,Oilseeds,Storage,2.27,Synthetic data for visualization practice
2015,Mustard,Oilseeds,Transport,1.96,Synthetic data for visualization practice
2015,Mustard,Oilseeds,Market,1.99,Synthetic data for visualization practice
2015,Sunflower,Oilseeds,Harvest,3.24,Synthetic data for visualization practice
2015,Sunflower,Oilseeds,Handling,2.27,Synthetic data for visualization practice
2015,Sunflower,Oilseeds,Storage,3.09,Synthetic data for visualization practice
2015,Sunflower,Oilseeds,Transport,2.55,Synthetic data for visualization practice
2015,Sunflower,Oilseeds,Market,2.01,Synthetic data for visualization practice
2015,Chilli,Spices,Harvest,2.73,Synthetic data for visualization practice
2015,Chilli,Spices,Handling,2.56,Synthetic data for visualization practice
2015,Chilli,Spices,Storage,3.1,Synthetic data for visualization practice
2015,Chilli,Spices,Transport,2.97,Synthetic data for visualization practice
2015,Chilli,Spices,Market,2.25,Synthetic data for visualization practice
2015,Turmeric,Spices,Harvest,3.17,Synthetic data for visualization practice
2015,Turmeric,Spices,Handling,2.38,Synthetic data for visualization practice
2015,Turmeric,Spices,Storage,3.71,Synthetic data for visualization practice
2015,Turmeric,Spices,Transport,2.85,Synthetic data for visualization practice
2015,Turmeric,Spices,Market,2.02,Synthetic data for visualization practice
2015,Coriander,Spices,Harvest,4.03,Synthetic data for visualization practice
2015,Coriander,Spices,Handling,3.58,Synthetic data for visualization practice
2015,Coriander,Spices,Storage,4.56,Synthetic data for visualization practice
2015,Coriander,Spices,Transport,3.69,Synthetic data for visualization practice
2015,Coriander,Spices,Market,2.99,Synthetic data for visualization practice
2016,Rice,Cereals,Harvest,1.69,Synthetic data for visualization practice
2016,Rice,Cereals,Handling,1.21,Synthetic data for visualization practice
2016,Rice,Cereals,Storage,2.13,Synthetic data for visualization practice
2016,Rice,Cereals,Transport,1.64,Synthetic data for visualization practice
2016,Rice,Cereals,Market,1.59,Synthetic data for visualization practice
2016,Wheat,Cereals,Harvest,1.28,Synthetic data for visualization practice
2016,Wheat,Cereals,Handling,0.93,Synthetic data for visualization practice
2016,Wheat,Cereals,Storage,2.21,Synthetic data for visualization practice
2016,Wheat,Cereals,Transport,1.91,Synthetic data for visualization practice
2016,Wheat,Cereals,Market,1.12,Synthetic data for visualization practice
2016,Maize,Cereals,Harvest,1.87,Synthetic data for visualization practice
2016,Maize,Cereals,Handling,0.93,Synthetic data for visualization practice
2016,Maize,Cereals,Storage,1.48,Synthetic data for visualization practice
2016,Maize,Cereals,Transport,1.57,Synthetic data for visualization practice
2016,Maize,Cereals,Market,1.0,Synthetic data for visualization practice
2016,Barley,Cereals,Harvest,1.78,Synthetic data for visualization practice
2016,Barley,Cereals,Handling,1.54,Synthetic data for visualization practice
2016,Barley,Cereals,Storage,2.41,Synthetic data for visualization practice
2016,Barley,Cereals,Transport,1.72,Synthetic data for visualization practice
2016,Barley,Cereals,Market,1.49,Synthetic data for visualization practice
2016,Millet,Cereals,Harvest,1.44,Synthetic data for visualization practice
2016,Millet,Cereals,Handling,0.95,Synthetic data for visualization practice
2016,Millet,Cereals,Storage,1.34,Synthetic data for visualization practice
2016,Millet,Cereals,Transport,1.13,Synthetic data for visualization practice
2016,Millet,Cereals,Market,0.98,Synthetic data for visualization practice
2016,Sorghum,Cereals,Harvest,1.7,Synthetic data for visualization practice
2016,Sorghum,Cereals,Handling,1.63,Synthetic data for visualization practice
2016,Sorghum,Cereals,Storage,2.18,Synthetic data for visualization practice
2016,Sorghum,Cereals,Transport,1.81,Synthetic data for visualization practice
2016,Sorghum,Cereals,Market,1.74,Synthetic data for visualization practice
2016,Chickpea,Pulses,Harvest,2.8,Synthetic data for visualization practice
2016,Chickpea,Pulses,Handling,1.94,Synthetic data for visualization practice
2016,Chickpea,Pulses,Storage,2.63,Synthetic data for visualization practice
2016,Chickpea,Pulses,Transport,2.25,Synthetic data for visualization practice
2016,Chickpea,Pulses,Market,1.87,Synthetic data for visualization practice
2016,Pigeon Pea,Pulses,Harvest,2.16,Synthetic data for visualization practice
2016,Pigeon Pea,Pulses,Handling,1.97,Synthetic data for visualization practice
2016,Pigeon Pea,Pulses,Storage,2.82,Synthetic data for visualization practice
2016,Pigeon Pea,Pulses,Transport,2.9,Synthetic data for visualization practice
2016,Pigeon Pea,Pulses,Market,2.25,Synthetic data for visualization practice
2016,Lentil,Pulses,Harvest,2.73,Synthetic data for visualization practice
2016,Lentil,Pulses,Handling,1.87,Synthetic data for visualization practice
2016,Lentil,Pulses,Storage,3.03,Synthetic data for visualization practice
2016,Lentil,Pulses,Transport,2.69,Synthetic data for visualization practice
2016,Lentil,Pulses,Market,2.35,Synthetic data for visualization practice
2016,Green Gram,Pulses,Harvest,2.51,Synthetic data for visualization practice
2016,Green Gram,Pulses,Handling,1.6,Synthetic data for visualization practice
2016,Green Gram,Pulses,Storage,2.99,Synthetic data for visualization practice
2016,Green Gram,Pulses,Transport,2.23,Synthetic data for visualization practice
2016,Green Gram,Pulses,Market,1.83,Synthetic data for visualization practice
2016,Black Gram,Pulses,Harvest,2.4,Synthetic data for visualization practice
2016,Black Gram,Pulses,Handling,1.67,Synthetic data for visualization practice
2016,Black Gram,Pulses,Storage,1.96,Synthetic data for visualization practice
2016,Black Gram,Pulses,Transport,1.61,Synthetic data for visualization practice
2016,Black Gram,Pulses,Market,2.09,Synthetic data for visualization practice
2016,Mango,Fruits,Harvest,4.15,Synthetic data for visualization practice
2016,Mango,Fruits,Handling,4.0,Synthetic data for visualization practice
2016,Mango,Fruits,Storage,5.74,Synthetic data for visualization practice
2016,Mango,Fruits,Transport,3.83,Synthetic data for visualization practice
2016,Mango,Fruits,Market,3.15,Synthetic data for visualization practice
2016,Banana,Fruits,Harvest,4.6,Synthetic data for visualization practice
2016,Banana,Fruits,Handling,3.09,Synthetic data for visualization practice
2016,Banana,Fruits,Storage,4.67,Synthetic data for visualization practice
2016,Banana,Fruits,Transport,4.09,Synthetic data for visualization practice
2016,Banana,Fruits,Market,3.17,Synthetic data for visualization practice
2016,Apple,Fruits,Harvest,4.52,Synthetic data for visualization practice
2016,Apple,Fruits,Handling,3.3,Synthetic data for visualization practice
2016,Apple,Fruits,Storage,5.1,Synthetic data for visualization practice
2016,Apple,Fruits,Transport,4.18,Synthetic data for visualization practice
2016,Apple,Fruits,Market,3.4,Synthetic data for visualization practice
2016,Guava,Fruits,Harvest,4.03,Synthetic data for visualization practice
2016,Guava,Fruits,Handling,3.39,Synthetic data for visualization practice
2016,Guava,Fruits,Storage,4.48,Synthetic data for visualization practice
2016,Guava,Fruits,Transport,3.74,Synthetic data for visualization practice
2016,Guava,Fruits,Market,2.88,Synthetic data for visualization practice
2016,Papaya,Fruits,Harvest,6.0,Synthetic data for visualization practice
2016,Papaya,Fruits,Handling,5.03,Synthetic data for visualization practice
2016,Papaya,Fruits,Storage,6.99,Synthetic data for visualization practice
2016,Papaya,Fruits,Transport,6.3,Synthetic data for visualization practice
2016,Papaya,Fruits,Market,4.93,Synthetic data for visualization practice
2016,Orange,Fruits,Harvest,4.73,Synthetic data for visualization practice
2016,Orange,Fruits,Handling,3.66,Synthetic data for visualization practice
2016,Orange,Fruits,Storage,5.87,Synthetic data for visualization practice
2016,Orange,Fruits,Transport,4.66,Synthetic data for visualization practice
2016,Orange,Fruits,Market,3.73,Synthetic data for visualization practice
2016,Tomato,Vegetables,Harvest,4.51,Synthetic data for visualization practice
2016,Tomato,Vegetables,Handling,3.54,Synthetic data for visualization practice
2016,Tomato,Vegetables,Storage,4.57,Synthetic data for visualization practice
2016,Tomato,Vegetables,Transport,3.88,Synthetic data for visualization practice
2016,Tomato,Vegetables,Market,3.2,Synthetic data for visualization practice
2016,Potato,Vegetables,Harvest,5.8,Synthetic data for visualization practice
2016,Potato,Vegetables,Handling,4.67,Synthetic data for visualization practice
2016,Potato,Vegetables,Storage,6.59,Synthetic data for visualization practice
2016,Potato,Vegetables,Transport,5.52,Synthetic data for visualization practice
2016,Potato,Vegetables,Market,4.67,Synthetic data for visualization practice
2016,Onion,Vegetables,Harvest,5.28,Synthetic data for visualization practice
2016,Onion,Vegetables,Handling,4.32,Synthetic data for visualization practice
2016,Onion,Vegetables,Storage,6.13,Synthetic data for visualization practice
2016,Onion,Vegetables,Transport,4.89,Synthetic data for visualization practice
2016,Onion,Vegetables,Market,3.48,Synthetic data for visualization practice
2016,Cauliflower,Vegetables,Harvest,5.64,Synthetic data for visualization practice
2016,Cauliflower,Vegetables,Handling,3.78,Synthetic data for visualization practice
2016,Cauliflower,Vegetables,Storage,6.12,Synthetic data for visualization practice
2016,Cauliflower,Vegetables,Transport,4.78,Synthetic data for visualization practice
2016,Cauliflower,Vegetables,Market,3.8,Synthetic data for visualization practice
2016,Cabbage,Vegetables,Harvest,5.91,Synthetic data for visualization practice
2016,Cabbage,Vegetables,Handling,5.12,Synthetic data for visualization practice
2016,Cabbage,Vegetables,Storage,6.94,Synthetic data for visualization practice
2016,Cabbage,Vegetables,Transport,6.03,Synthetic data for visualization practice
2016,Cabbage,Vegetables,Market,4.69,Synthetic data for visualization practice
2016,Okra,Vegetables,Harvest,5.99,Synthetic data for visualization practice
2016,Okra,Vegetables,Handling,4.55,Synthetic data for visualization practice
2016,Okra,Vegetables,Storage,6.5,Synthetic data for visualization practice
2016,Okra,Vegetables,Transport,5.11,Synthetic data for visualization practice
2016,Okra,Vegetables,Market,4.09,Synthetic data for visualization practice
2016,Groundnut,Oilseeds,Harvest,2.53,Synthetic data for visualization practice
2016,Groundnut,Oilseeds,Handling,1.53,Synthetic data for visualization practice
2016,Groundnut,Oilseeds,Storage,2.78,Synthetic data for visualization practice
2016,Groundnut,Oilseeds,Transport,2.08,Synthetic data for visualization practice
2016,Groundnut,Oilseeds,Market,1.97,Synthetic data for visualization practice
2016,Soybean,Oilseeds,Harvest,2.47,Synthetic data for visualization practice
2016,Soybean,Oilseeds,Handling,1.79,Synthetic data for visualization practice
2016,Soybean,Oilseeds,Storage,1.89,Synthetic data for visualization practice
2016,Soybean,Oilseeds,Transport,1.86,Synthetic data for visualization practice
2016,Soybean,Oilseeds,Market,1.18,Synthetic data for visualization practice
2016,Mustard,Oilseeds,Harvest,3.37,Synthetic data for visualization practice
2016,Mustard,Oilseeds,Handling,2.55,Synthetic data for visualization practice
2016,Mustard,Oilseeds,Storage,3.21,Synthetic data for visualization practice
2016,Mustard,Oilseeds,Transport,2.54,Synthetic data for visualization practice
2016,Mustard,Oilseeds,Market,2.2,Synthetic data for visualization practice
2016,Sunflower,Oilseeds,Harvest,2.53,Synthetic data for visualization practice
2016,Sunflower,Oilseeds,Handling,2.24,Synthetic data for visualization practice
2016,Sunflower,Oilseeds,Storage,3.35,Synthetic data for visualization practice
2016,Sunflower,Oilseeds,Transport,2.67,Synthetic data for visualization practice
2016,Sunflower,Oilseeds,Market,1.41,Synthetic data for visualization practice
2016,Chilli,Spices,Harvest,3.16,Synthetic data for visualization practice
2016,Chilli,Spices,Handling,2.62,Synthetic data for visualization practice
2016,Chilli,Spices,Storage,3.97,Synthetic data for visualization practice
2016,Chilli,Spices,Transport,2.42,Synthetic data for visualization practice
2016,Chilli,Spices,Market,2.16,Synthetic data for visualization practice
2016,Turmeric,Spices,Harvest,2.08,Synthetic data for visualization practice
2016,Turmeric,Spices,Handling,2.35,Synthetic data for visualization practice
2016,Turmeric,Spices,Storage,2.89,Synthetic data for visualization practice
2016,Turmeric,Spices,Transport,2.52,Synthetic data for visualization practice
2016,Turmeric,Spices,Market,1.67,Synthetic data for visualization practice
2016,Coriander,Spices,Harvest,3.66,Synthetic data for visualization practice
2016,Coriander,Spices,Handling,2.77,Synthetic data for visualization practice
2016,Coriander,Spices,Storage,3.9,Synthetic data for visualization practice
2016,Coriander,Spices,Transport,3.23,Synthetic data for visualization practice
2016,Coriander,Spices,Market,2.27,Synthetic data for visualization practice
2017,Rice,Cereals,Harvest,1.57,Synthetic data for visualization practice
2017,Rice,Cereals,Handling,1.39,Synthetic data for visualization practice
2017,Rice,Cereals,Storage,2.08,Synthetic data for visualization practice
2017,Rice,Cereals,Transport,1.24,Synthetic data for visualization practice
2017,Rice,Cereals,Market,1.15,Synthetic data for visualization practice
2017,Wheat,Cereals,Harvest,1.82,Synthetic data for visualization practice
2017,Wheat,Cereals,Handling,1.4,Synthetic data for visualization practice
2017,Wheat,Cereals,Storage,2.33,Synthetic data for visualization practice
2017,Wheat,Cereals,Transport,2.09,Synthetic data for visualization practice
2017,Wheat,Cereals,Market,1.48,Synthetic data for visualization practice
2017,Maize,Cereals,Harvest,2.47,Synthetic data for visualization practice
2017,Maize,Cereals,Handling,2.02,Synthetic data for visualization practice
2017,Maize,Cereals,Storage,2.7,Synthetic data for visualization practice
2017,Maize,Cereals,Transport,2.69,Synthetic data for visualization practice
2017,Maize,Cereals,Market,1.6,Synthetic data for visualization practice
2017,Barley,Cereals,Harvest,1.83,Synthetic data for visualization practice
2017,Barley,Cereals,Handling,1.03,Synthetic data for visualization practice
2017,Barley,Cereals,Storage,1.64,Synthetic data for visualization practice
2017,Barley,Cereals,Transport,1.66,Synthetic data for visualization practice
2017,Barley,Cereals,Market,0.65,Synthetic data for visualization practice
2017,Millet,Cereals,Harvest,1.19,Synthetic data for visualization practice
2017,Millet,Cereals,Handling,1.08,Synthetic data for visualization practice
2017,Millet,Cereals,Storage,1.92,Synthetic data for visualization practice
2017,Millet,Cereals,Transport,1.62,Synthetic data for visualization practice
2017,Millet,Cereals,Market,1.24,Synthetic data for visualization practice
2017,Sorghum,Cereals,Harvest,0.84,Synthetic data for visualization practice
2017,Sorghum,Cereals,Handling,1.15,Synthetic data for visualization practice
2017,Sorghum,Cereals,Storage,1.49,Synthetic data for visualization practice
2017,Sorghum,Cereals,Transport,1.44,Synthetic data for visualization practice
2017,Sorghum,Cereals,Market,1.21,Synthetic data for visualization practice
2017,Chickpea,Pulses,Harvest,2.67,Synthetic data for visualization practice
2017,Chickpea,Pulses,Handling,2.3,Synthetic data for visualization practice
2017,Chickpea,Pulses,Storage,3.4,Synthetic data for visualization practice
2017,Chickpea,Pulses,Transport,2.7,Synthetic data for visualization practice
2017,Chickpea,Pulses,Market,2.21,Synthetic data for visualization practice
2017,Pigeon Pea,Pulses,Harvest,1.88,Synthetic data for visualization practice
2017,Pigeon Pea,Pulses,Handling,1.59,Synthetic data for visualization practice
2017,Pigeon Pea,Pulses,Storage,2.39,Synthetic data for visualization practice
2017,Pigeon Pea,Pulses,Transport,1.7,Synthetic data for visualization practice
2017,Pigeon Pea,Pulses,Market,1.54,Synthetic data for visualization practice
2017,Lentil,Pulses,Harvest,1.65,Synthetic data for visualization practice
2017,Lentil,Pulses,Handling,1.55,Synthetic data for visualization practice
2017,Lentil,Pulses,Storage,1.41,Synthetic data for visualization practice
2017,Lentil,Pulses,Transport,1.24,Synthetic data for visualization practice
2017,Lentil,Pulses,Market,0.86,Synthetic data for visualization practice
2017,Green Gram,Pulses,Harvest,2.49,Synthetic data for visualization practice
2017,Green Gram,Pulses,Handling,2.31,Synthetic data for visualization practice
2017,Green Gram,Pulses,Storage,2.94,Synthetic data for visualization practice
2017,Green Gram,Pulses,Transport,2.53,Synthetic data for visualization practice
2017,Green Gram,Pulses,Market,2.22,Synthetic data for visualization practice
2017,Black Gram,Pulses,Harvest,2.63,Synthetic data for visualization practice
2017,Black Gram,Pulses,Handling,2.45,Synthetic data for visualization practice
2017,Black Gram,Pulses,Storage,3.02,Synthetic data for visualization practice
2017,Black Gram,Pulses,Transport,2.26,Synthetic data for visualization practice
2017,Black Gram,Pulses,Market,1.79,Synthetic data for visualization practice
2017,Mango,Fruits,Harvest,5.49,Synthetic data for visualization practice
2017,Mango,Fruits,Handling,4.48,Synthetic data for visualization practice
2017,Mango,Fruits,Storage,6.67,Synthetic data for visualization practice
2017,Mango,Fruits,Transport,5.76,Synthetic data for visualization practice
2017,Mango,Fruits,Market,3.84,Synthetic data for visualization practice
2017,Banana,Fruits,Harvest,3.6,Synthetic data for visualization practice
2017,Banana,Fruits,Handling,3.21,Synthetic data for visualization practice
2017,Banana,Fruits,Storage,4.34,Synthetic data for visualization practice
2017,Banana,Fruits,Transport,3.14,Synthetic data for visualization practice
2017,Banana,Fruits,Market,3.06,Synthetic data for visualization practice
2017,Apple,Fruits,Harvest,3.83,Synthetic data for visualization practice
2017,Apple,Fruits,Handling,2.9,Synthetic data for visualization practice
2017,Apple,Fruits,Storage,4.32,Synthetic data for visualization practice
2017,Apple,Fruits,Transport,3.8,Synthetic data for visualization practice
2017,Apple,Fruits,Market,2.86,Synthetic data for visualization practice
2017,Guava,Fruits,Harvest,5.36,Synthetic data for visualization practice
2017,Guava,Fruits,Handling,4.54,Synthetic data for visualization practice
2017,Guava,Fruits,Storage,5.88,Synthetic data for visualization practice
2017,Guava,Fruits,Transport,4.55,Synthetic data for visualization practice
2017,Guava,Fruits,Market,4.13,Synthetic data for visualization practice
2017,Papaya,Fruits,Harvest,5.76,Synthetic data for visualization practice
2017,Papaya,Fruits,Handling,4.48,Synthetic data for visualization practice
2017,Papaya,Fruits,Storage,6.17,Synthetic data for visualization practice
2017,Papaya,Fruits,Transport,5.2,Synthetic data for visualization practice
2017,Papaya,Fruits,Market,4.5,Synthetic data for visualization practice
2017,Orange,Fruits,Harvest,4.05,Synthetic data for visualization practice
2017,Orange,Fruits,Handling,3.27,Synthetic data for visualization practice
2017,Orange,Fruits,Storage,4.84,Synthetic data for visualization practice
2017,Orange,Fruits,Transport,3.55,Synthetic data for visualization practice
2017,Orange,Fruits,Market,3.04,Synthetic data for visualization practice
2017,Tomato,Vegetables,Harvest,5.84,Synthetic data for visualization practice
2017,Tomato,Vegetables,Handling,4.4,Synthetic data for visualization practice
2017,Tomato,Vegetables,Storage,6.13,Synthetic data for visualization practice
2017,Tomato,Vegetables,Transport,4.85,Synthetic data for visualization practice
2017,Tomato,Vegetables,Market,3.94,Synthetic data for visualization practice
2017,Potato,Vegetables,Harvest,3.96,Synthetic data for visualization practice
2017,Potato,Vegetables,Handling,3.71,Synthetic data for visualization practice
2017,Potato,Vegetables,Storage,4.85,Synthetic data for visualization practice
2017,Potato,Vegetables,Transport,3.52,Synthetic data for visualization practice
2017,Potato,Vegetables,Market,3.04,Synthetic data for visualization practice
2017,Onion,Vegetables,Harvest,5.88,Synthetic data for visualization practice
2017,Onion,Vegetables,Handling,4.81,Synthetic data for visualization practice
2017,Onion,Vegetables,Storage,6.9,Synthetic data for visualization practice
2017,Onion,Vegetables,Transport,5.47,Synthetic data for visualization practice
2017,Onion,Vegetables,Market,4.63,Synthetic data for visualization practice
2017,Cauliflower,Vegetables,Harvest,5.17,Synthetic data for visualization practice
2017,Cauliflower,Vegetables,Handling,4.79,Synthetic data for visualization practice
2017,Cauliflower,Vegetables,Storage,5.92,Synthetic data for visualization practice
2017,Cauliflower,Vegetables,Transport,5.18,Synthetic data for visualization practice
