State,Year,Measure,Value,Dataset_Status
Himachal Pradesh,2015,Utilization_Percent,81.39,Synthetic data for visualization practice
Jharkhand,2015,Beneficiaries_Lakh,3.56,Synthetic data for visualization practice
Jharkhand,2015,Foodgrain_Allocation_Lakh_Tonnes,2.02,Synthetic data for visualization practice
Jharkhand,2015,Foodgrain_Distribution_Lakh_Tonnes,1.64,Synthetic data for visualization practice
Jharkhand,2015,Coverage_Percent,81.12,Synthetic data for visualization practice
Jharkhand,2015,Utilization_Percent,81.27,Synthetic data for visualization practice
Karnataka,2015,Beneficiaries_Lakh,23.78,Synthetic data for visualization practice
Karnataka,2015,Foodgrain_Allocation_Lakh_Tonnes,10.32,Synthetic data for visualization practice
Karnataka,2015,Foodgrain_Distribution_Lakh_Tonnes,9.52,Synthetic data for visualization practice
Karnataka,2015,Coverage_Percent,78.85,Synthetic data for visualization practice
Karnataka,2015,Utilization_Percent,92.22,Synthetic data for visualization practice
Kerala,2015,Beneficiaries_Lakh,22.29,Synthetic data for visualization practice
Kerala,2015,Foodgrain_Allocation_Lakh_Tonnes,10.35,Synthetic data for visualization practice
Kerala,2015,Foodgrain_Distribution_Lakh_Tonnes,8.77,Synthetic data for visualization practice
Kerala,2015,Coverage_Percent,79.33,Synthetic data for visualization practice
Kerala,2015,Utilization_Percent,84.74,Synthetic data for visualization practice
Madhya Pradesh,2015,Beneficiaries_Lakh,26.89,Synthetic data for visualization practice
Madhya Pradesh,2015,Foodgrain_Allocation_Lakh_Tonnes,15.6,Synthetic data for visualization practice
Madhya Pradesh,2015,Foodgrain_Distribution_Lakh_Tonnes,13.53,Synthetic data for visualization practice
Madhya Pradesh,2015,Coverage_Percent,69.95,Synthetic data for visualization practice
Madhya Pradesh,2015,Utilization_Percent,86.74,Synthetic data for visualization practice
Maharashtra,2015,Beneficiaries_Lakh,15.18,Synthetic data for visualization practice
Maharashtra,2015,Foodgrain_Allocation_Lakh_Tonnes,8.56,Synthetic data for visualization practice
Maharashtra,2015,Foodgrain_Distribution_Lakh_Tonnes,8.09,Synthetic data for visualization practice
Maharashtra,2015,Coverage_Percent,80.68,Synthetic data for visualization practice
Maharashtra,2015,Utilization_Percent,94.58,Synthetic data for visualization practice
Manipur,2015,Beneficiaries_Lakh,7.26,Synthetic data for visualization practice
Manipur,2015,Foodgrain_Allocation_Lakh_Tonnes,4.44,Synthetic data for visualization practice
Manipur,2015,Foodgrain_Distribution_Lakh_Tonnes,3.84,Synthetic data for visualization practice
Manipur,2015,Coverage_Percent,78.05,Synthetic data for visualization practice
Manipur,2015,Utilization_Percent,86.42,Synthetic data for visualization practice
Meghalaya,2015,Beneficiaries_Lakh,32.64,Synthetic data for visualization practice
Meghalaya,2015,Foodgrain_Allocation_Lakh_Tonnes,14.77,Synthetic data for visualization practice
Meghalaya,2015,Foodgrain_Distribution_Lakh_Tonnes,11.78,Synthetic data for visualization practice
Meghalaya,2015,Coverage_Percent,85.19,Synthetic data for visualization practice
Meghalaya,2015,Utilization_Percent,79.73,Synthetic data for visualization practice
Mizoram,2015,Beneficiaries_Lakh,4.73,Synthetic data for visualization practice
Mizoram,2015,Foodgrain_Allocation_Lakh_Tonnes,2.59,Synthetic data for visualization practice
Mizoram,2015,Foodgrain_Distribution_Lakh_Tonnes,2.03,Synthetic data for visualization practice
Mizoram,2015,Coverage_Percent,82.57,Synthetic data for visualization practice
Mizoram,2015,Utilization_Percent,78.56,Synthetic data for visualization practice
Nagaland,2015,Beneficiaries_Lakh,6.51,Synthetic data for visualization practice
Nagaland,2015,Foodgrain_Allocation_Lakh_Tonnes,2.92,Synthetic data for visualization practice
Nagaland,2015,Foodgrain_Distribution_Lakh_Tonnes,2.28,Synthetic data for visualization practice
Nagaland,2015,Coverage_Percent,90.94,Synthetic data for visualization practice
Nagaland,2015,Utilization_Percent,78.11,Synthetic data for visualization practice
Odisha,2015,Beneficiaries_Lakh,38.19,Synthetic data for visualization practice
Odisha,2015,Foodgrain_Allocation_Lakh_Tonnes,22.2,Synthetic data for visualization practice
Odisha,2015,Foodgrain_Distribution_Lakh_Tonnes,19.79,Synthetic data for visualization practice
Odisha,2015,Coverage_Percent,86.76,Synthetic data for visualization practice
Odisha,2015,Utilization_Percent,89.16,Synthetic data for visualization practice
Punjab,2015,Beneficiaries_Lakh,19.09,Synthetic data for visualization practice
Punjab,2015,Foodgrain_Allocation_Lakh_Tonnes,11.3,Synthetic data for visualization practice
Punjab,2015,Foodgrain_Distribution_Lakh_Tonnes,9.36,Synthetic data for visualization practice
Punjab,2015,Coverage_Percent,67.55,Synthetic data for visualization practice
Punjab,2015,Utilization_Percent,82.79,Synthetic data for visualization practice
Rajasthan,2015,Beneficiaries_Lakh,10.96,Synthetic data for visualization practice
Rajasthan,2015,Foodgrain_Allocation_Lakh_Tonnes,6.49,Synthetic data for visualization practice
Rajasthan,2015,Foodgrain_Distribution_Lakh_Tonnes,5.79,Synthetic data for visualization practice
Rajasthan,2015,Coverage_Percent,77.53,Synthetic data for visualization practice
Rajasthan,2015,Utilization_Percent,89.17,Synthetic data for visualization practice
Sikkim,2015,Beneficiaries_Lakh,34.41,Synthetic data for visualization practice
Sikkim,2015,Foodgrain_Allocation_Lakh_Tonnes,17.55,Synthetic data for visualization practice
Sikkim,2015,Foodgrain_Distribution_Lakh_Tonnes,14.94,Synthetic data for visualization practice
Sikkim,2015,Coverage_Percent,92.04,Synthetic data for visualization practice
Sikkim,2015,Utilization_Percent,85.14,Synthetic data for visualization practice
Tamil Nadu,2015,Beneficiaries_Lakh,6.86,Synthetic data for visualization practice
Tamil Nadu,2015,Foodgrain_Allocation_Lakh_Tonnes,3.06,Synthetic data for visualization practice
Tamil Nadu,2015,Foodgrain_Distribution_Lakh_Tonnes,2.73,Synthetic data for visualization practice
Tamil Nadu,2015,Coverage_Percent,77.62,Synthetic data for visualization practice
Tamil Nadu,2015,Utilization_Percent,89.42,Synthetic data for visualization practice
Telangana,2015,Beneficiaries_Lakh,5.33,Synthetic data for visualization practice
Telangana,2015,Foodgrain_Allocation_Lakh_Tonnes,2.37,Synthetic data for visualization practice
Telangana,2015,Foodgrain_Distribution_Lakh_Tonnes,2.07,Synthetic data for visualization practice
Telangana,2015,Coverage_Percent,81.71,Synthetic data for visualization practice
Telangana,2015,Utilization_Percent,87.37,Synthetic data for visualization practice
Tripura,2015,Beneficiaries_Lakh,6.76,Synthetic data for visualization practice
Tripura,2015,Foodgrain_Allocation_Lakh_Tonnes,3.98,Synthetic data for visualization practice
Tripura,2015,Foodgrain_Distribution_Lakh_Tonnes,3.55,Synthetic data for visualization practice
Tripura,2015,Coverage_Percent,89.53,Synthetic data for visualization practice
Tripura,2015,Utilization_Percent,89.25,Synthetic data for visualization practice
Uttar Pradesh,2015,Beneficiaries_Lakh,30.81,Synthetic data for visualization practice
Uttar Pradesh,2015,Foodgrain_Allocation_Lakh_Tonnes,15.17,Synthetic data for visualization practice
Uttar Pradesh,2015,Foodgrain_Distribution_Lakh_Tonnes,12.25,Synthetic data for visualization practice
Uttar Pradesh,2015,Coverage_Percent,81.59,Synthetic data for visualization practice
Uttar Pradesh,2015,Utilization_Percent,80.76,Synthetic data for visualization practice
Uttarakhand,2015,Beneficiaries_Lakh,24.99,Synthetic data for visualization practice
Uttarakhand,2015,Foodgrain_Allocation_Lakh_Tonnes,11.18,Synthetic data for visualization practice
Uttarakhand,2015,Foodgrain_Distribution_Lakh_Tonnes,9.62,Synthetic data for visualization practice
Uttarakhand,2015,Coverage_Percent,77.12,Synthetic data for visualization practice
Uttarakhand,2015,Utilization_Percent,86.06,Synthetic data for visualization practice
West Bengal,2015,Beneficiaries_Lakh,2.33,Synthetic data for visualization practice
West Bengal,2015,Foodgrain_Allocation_Lakh_Tonnes,1.17,Synthetic data for visualization practice
West Bengal,2015,Foodgrain_Distribution_Lakh_Tonnes,0.98,Synthetic data for visualization practice
West Bengal,2015,Coverage_Percent,70.48,Synthetic data for visualization practice
West Bengal,2015,Utilization_Percent,83.12,Synthetic data for visualization practice
Delhi,2015,Beneficiaries_Lakh,19.36,Synthetic data for visualization practice
Delhi,2015,Foodgrain_Allocation_Lakh_Tonnes,9.45,Synthetic data for visualization practice
Delhi,2015,Foodgrain_Distribution_Lakh_Tonnes,9.2,Synthetic data for visualization practice
Delhi,2015,Coverage_Percent,95.93,Synthetic data for visualization practice
Delhi,2015,Utilization_Percent,97.42,Synthetic data for visualization practice
Jammu and Kashmir,2015,Beneficiaries_Lakh,23.56,Synthetic data for visualization practice
Jammu and Kashmir,2015,Foodgrain_Allocation_Lakh_Tonnes,11.39,Synthetic data for visualization practice
Jammu and Kashmir,2015,Foodgrain_Distribution_Lakh_Tonnes,10.46,Synthetic data for visualization practice
Jammu and Kashmir,2015,Coverage_Percent,79.52,Synthetic data for visualization practice
Jammu and Kashmir,2015,Utilization_Percent,91.79,Synthetic data for visualization practice
Andhra Pradesh,2016,Beneficiaries_Lakh,18.9,Synthetic data for visualization practice
Andhra Pradesh,2016,Foodgrain_Allocation_Lakh_Tonnes,9.97,Synthetic data for visualization practice
Andhra Pradesh,2016,Foodgrain_Distribution_Lakh_Tonnes,8.01,Synthetic data for visualization practice
Andhra Pradesh,2016,Coverage_Percent,86.51,Synthetic data for visualization practice
Andhra Pradesh,2016,Utilization_Percent,80.31,Synthetic data for visualization practice
Arunachal Pradesh,2016,Beneficiaries_Lakh,41.01,Synthetic data for visualization practice
Arunachal Pradesh,2016,Foodgrain_Allocation_Lakh_Tonnes,24.55,Synthetic data for visualization practice
Arunachal Pradesh,2016,Foodgrain_Distribution_Lakh_Tonnes,21.82,Synthetic data for visualization practice
Arunachal Pradesh,2016,Coverage_Percent,81.68,Synthetic data for visualization practice
Arunachal Pradesh,2016,Utilization_Percent,88.9,Synthetic data for visualization practice
Assam,2016,Beneficiaries_Lakh,18.0,Synthetic data for visualization practice
Assam,2016,Foodgrain_Allocation_Lakh_Tonnes,8.24,Synthetic data for visualization practice
Assam,2016,Foodgrain_Distribution_Lakh_Tonnes,7.49,Synthetic data for visualization practice
Assam,2016,Coverage_Percent,76.34,Synthetic data for visualization practice
Assam,2016,Utilization_Percent,90.84,Synthetic data for visualization practice
Bihar,2016,Beneficiaries_Lakh,7.56,Synthetic data for visualization practice
Bihar,2016,Foodgrain_Allocation_Lakh_Tonnes,3.58,Synthetic data for visualization practice
Bihar,2016,Foodgrain_Distribution_Lakh_Tonnes,3.13,Synthetic data for visualization practice
Bihar,2016,Coverage_Percent,67.07,Synthetic data for visualization practice
Bihar,2016,Utilization_Percent,87.52,Synthetic data for visualization practice
Chhattisgarh,2016,Beneficiaries_Lakh,17.11,Synthetic data for visualization practice
Chhattisgarh,2016,Foodgrain_Allocation_Lakh_Tonnes,7.36,Synthetic data for visualization practice
Chhattisgarh,2016,Foodgrain_Distribution_Lakh_Tonnes,6.41,Synthetic data for visualization practice
Chhattisgarh,2016,Coverage_Percent,89.3,Synthetic data for visualization practice
Chhattisgarh,2016,Utilization_Percent,87.17,Synthetic data for visualization practice
Goa,2016,Beneficiaries_Lakh,18.93,Synthetic data for visualization practice
Goa,2016,Foodgrain_Allocation_Lakh_Tonnes,8.87,Synthetic data for visualization practice
Goa,2016,Foodgrain_Distribution_Lakh_Tonnes,8.58,Synthetic data for visualization practice
Goa,2016,Coverage_Percent,86.45,Synthetic data for visualization practice
Goa,2016,Utilization_Percent,96.67,Synthetic data for visualization practice
Gujarat,2016,Beneficiaries_Lakh,6.03,Synthetic data for visualization practice
Gujarat,2016,Foodgrain_Allocation_Lakh_Tonnes,3.1,Synthetic data for visualization practice
Gujarat,2016,Foodgrain_Distribution_Lakh_Tonnes,2.73,Synthetic data for visualization practice
Gujarat,2016,Coverage_Percent,80.07,Synthetic data for visualization practice
Gujarat,2016,Utilization_Percent,88.04,Synthetic data for visualization practice
Haryana,2016,Beneficiaries_Lakh,7.66,Synthetic data for visualization practice
Haryana,2016,Foodgrain_Allocation_Lakh_Tonnes,4.18,Synthetic data for visualization practice
Haryana,2016,Foodgrain_Distribution_Lakh_Tonnes,3.63,Synthetic data for visualization practice
Haryana,2016,Coverage_Percent,85.66,Synthetic data for visualization practice
Haryana,2016,Utilization_Percent,86.8,Synthetic data for visualization practice
Himachal Pradesh,2016,Beneficiaries_Lakh,25.86,Synthetic data for visualization practice
Himachal Pradesh,2016,Foodgrain_Allocation_Lakh_Tonnes,13.39,Synthetic data for visualization practice
Himachal Pradesh,2016,Foodgrain_Distribution_Lakh_Tonnes,12.63,Synthetic data for visualization practice
Himachal Pradesh,2016,Coverage_Percent,89.59,Synthetic data for visualization practice
Himachal Pradesh,2016,Utilization_Percent,94.3,Synthetic data for visualization practice
Jharkhand,2016,Beneficiaries_Lakh,14.66,Synthetic data for visualization practice
Jharkhand,2016,Foodgrain_Allocation_Lakh_Tonnes,6.92,Synthetic data for visualization practice
Jharkhand,2016,Foodgrain_Distribution_Lakh_Tonnes,5.82,Synthetic data for visualization practice
Jharkhand,2016,Coverage_Percent,81.09,Synthetic data for visualization practice
Jharkhand,2016,Utilization_Percent,84.21,Synthetic data for visualization practice
Karnataka,2016,Beneficiaries_Lakh,9.55,Synthetic data for visualization practice
Karnataka,2016,Foodgrain_Allocation_Lakh_Tonnes,5.09,Synthetic data for visualization practice
Karnataka,2016,Foodgrain_Distribution_Lakh_Tonnes,4.15,Synthetic data for visualization practice
Karnataka,2016,Coverage_Percent,90.56,Synthetic data for visualization practice
Karnataka,2016,Utilization_Percent,81.6,Synthetic data for visualization practice
Kerala,2016,Beneficiaries_Lakh,14.48,Synthetic data for visualization practice
Kerala,2016,Foodgrain_Allocation_Lakh_Tonnes,6.26,Synthetic data for visualization practice
Kerala,2016,Foodgrain_Distribution_Lakh_Tonnes,5.79,Synthetic data for visualization practice
Kerala,2016,Coverage_Percent,87.56,Synthetic data for visualization practice
Kerala,2016,Utilization_Percent,92.57,Synthetic data for visualization practice
Madhya Pradesh,2016,Beneficiaries_Lakh,29.76,Synthetic data for visualization practice
Madhya Pradesh,2016,Foodgrain_Allocation_Lakh_Tonnes,16.71,Synthetic data for visualization practice
Madhya Pradesh,2016,Foodgrain_Distribution_Lakh_Tonnes,15.06,Synthetic data for visualization practice
Madhya Pradesh,2016,Coverage_Percent,69.14,Synthetic data for visualization practice
Madhya Pradesh,2016,Utilization_Percent,90.13,Synthetic data for visualization practice
Maharashtra,2016,Beneficiaries_Lakh,16.98,Synthetic data for visualization practice
Maharashtra,2016,Foodgrain_Allocation_Lakh_Tonnes,7.35,Synthetic data for visualization practice
Maharashtra,2016,Foodgrain_Distribution_Lakh_Tonnes,7.06,Synthetic data for visualization practice
Maharashtra,2016,Coverage_Percent,81.56,Synthetic data for visualization practice
Maharashtra,2016,Utilization_Percent,96.1,Synthetic data for visualization practice
Manipur,2016,Beneficiaries_Lakh,23.62,Synthetic data for visualization practice
Manipur,2016,Foodgrain_Allocation_Lakh_Tonnes,11.22,Synthetic data for visualization practice
Manipur,2016,Foodgrain_Distribution_Lakh_Tonnes,9.97,Synthetic data for visualization practice
Manipur,2016,Coverage_Percent,88.29,Synthetic data for visualization practice
Manipur,2016,Utilization_Percent,88.88,Synthetic data for visualization practice
Meghalaya,2016,Beneficiaries_Lakh,13.57,Synthetic data for visualization practice
Meghalaya,2016,Foodgrain_Allocation_Lakh_Tonnes,6.51,Synthetic data for visualization practice
Meghalaya,2016,Foodgrain_Distribution_Lakh_Tonnes,5.75,Synthetic data for visualization practice
Meghalaya,2016,Coverage_Percent,92.27,Synthetic data for visualization practice
Meghalaya,2016,Utilization_Percent,88.33,Synthetic data for visualization practice
Mizoram,2016,Beneficiaries_Lakh,11.88,Synthetic data for visualization practice
Mizoram,2016,Foodgrain_Allocation_Lakh_Tonnes,6.85,Synthetic data for visualization practice
Mizoram,2016,Foodgrain_Distribution_Lakh_Tonnes,6.33,Synthetic data for visualization practice
Mizoram,2016,Coverage_Percent,80.65,Synthetic data for visualization practice
Mizoram,2016,Utilization_Percent,92.33,Synthetic data for visualization practice
Nagaland,2016,Beneficiaries_Lakh,6.41,Synthetic data for visualization practice
Nagaland,2016,Foodgrain_Allocation_Lakh_Tonnes,3.71,Synthetic data for visualization practice
Nagaland,2016,Foodgrain_Distribution_Lakh_Tonnes,3.13,Synthetic data for visualization practice
Nagaland,2016,Coverage_Percent,83.33,Synthetic data for visualization practice
Nagaland,2016,Utilization_Percent,84.47,Synthetic data for visualization practice
Odisha,2016,Beneficiaries_Lakh,15.66,Synthetic data for visualization practice
Odisha,2016,Foodgrain_Allocation_Lakh_Tonnes,7.54,Synthetic data for visualization practice
Odisha,2016,Foodgrain_Distribution_Lakh_Tonnes,6.54,Synthetic data for visualization practice
Odisha,2016,Coverage_Percent,84.93,Synthetic data for visualization practice
Odisha,2016,Utilization_Percent,86.78,Synthetic data for visualization practice
Punjab,2016,Beneficiaries_Lakh,20.79,Synthetic data for visualization practice
Punjab,2016,Foodgrain_Allocation_Lakh_Tonnes,12.21,Synthetic data for visualization practice
Punjab,2016,Foodgrain_Distribution_Lakh_Tonnes,10.41,Synthetic data for visualization practice
Punjab,2016,Coverage_Percent,79.96,Synthetic data for visualization practice
Punjab,2016,Utilization_Percent,85.3,Synthetic data for visualization practice
Rajasthan,2016,Beneficiaries_Lakh,9.26,Synthetic data for visualization practice
Rajasthan,2016,Foodgrain_Allocation_Lakh_Tonnes,4.67,Synthetic data for visualization practice
Rajasthan,2016,Foodgrain_Distribution_Lakh_Tonnes,4.19,Synthetic data for visualization practice
Rajasthan,2016,Coverage_Percent,86.2,Synthetic data for visualization practice
Rajasthan,2016,Utilization_Percent,89.6,Synthetic data for visualization practice
Sikkim,2016,Beneficiaries_Lakh,21.66,Synthetic data for visualization practice
Sikkim,2016,Foodgrain_Allocation_Lakh_Tonnes,12.12,Synthetic data for visualization practice
Sikkim,2016,Foodgrain_Distribution_Lakh_Tonnes,9.68,Synthetic data for visualization practice
Sikkim,2016,Coverage_Percent,74.65,Synthetic data for visualization practice
Sikkim,2016,Utilization_Percent,79.9,Synthetic data for visualization practice
Tamil Nadu,2016,Beneficiaries_Lakh,10.74,Synthetic data for visualization practice
Tamil Nadu,2016,Foodgrain_Allocation_Lakh_Tonnes,4.8,Synthetic data for visualization practice
Tamil Nadu,2016,Foodgrain_Distribution_Lakh_Tonnes,4.52,Synthetic data for visualization practice
Tamil Nadu,2016,Coverage_Percent,92.78,Synthetic data for visualization practice
Tamil Nadu,2016,Utilization_Percent,94.26,Synthetic data for visualization practice
Telangana,2016,Beneficiaries_Lakh,7.02,Synthetic data for visualization practice
Telangana,2016,Foodgrain_Allocation_Lakh_Tonnes,3.89,Synthetic data for visualization practice
Telangana,2016,Foodgrain_Distribution_Lakh_Tonnes,3.1,Synthetic data for visualization practice
Telangana,2016,Coverage_Percent,89.37,Synthetic data for visualization practice
Telangana,2016,Utilization_Percent,79.84,Synthetic data for visualization practice
Tripura,2016,Beneficiaries_Lakh,24.94,Synthetic data for visualization practice
Tripura,2016,Foodgrain_Allocation_Lakh_Tonnes,11.4,Synthetic data for visualization practice
Tripura,2016,Foodgrain_Distribution_Lakh_Tonnes,9.97,Synthetic data for visualization practice
Tripura,2016,Coverage_Percent,80.66,Synthetic data for visualization practice
Tripura,2016,Utilization_Percent,87.49,Synthetic data for visualization practice
Uttar Pradesh,2016,Beneficiaries_Lakh,13.05,Synthetic data for visualization practice
Uttar Pradesh,2016,Foodgrain_Allocation_Lakh_Tonnes,6.28,Synthetic data for visualization practice
Uttar Pradesh,2016,Foodgrain_Distribution_Lakh_Tonnes,5.53,Synthetic data for visualization practice
Uttar Pradesh,2016,Coverage_Percent,76.19,Synthetic data for visualization practice
Uttar Pradesh,2016,Utilization_Percent,88.1,Synthetic data for visualization practice
Uttarakhand,2016,Beneficiaries_Lakh,9.02,Synthetic data for visualization practice
Uttarakhand,2016,Foodgrain_Allocation_Lakh_Tonnes,4.99,Synthetic data for visualization practice
Uttarakhand,2016,Foodgrain_Distribution_Lakh_Tonnes,4.47,Synthetic data for visualization practice
Uttarakhand,2016,Coverage_Percent,76.4,Synthetic data for visualization practice
Uttarakhand,2016,Utilization_Percent,89.72,Synthetic data for visualization practice
West Bengal,2016,Beneficiaries_Lakh,27.04,Synthetic data for visualization practice
West Bengal,2016,Foodgrain_Allocation_Lakh_Tonnes,14.45,Synthetic data for visualization practice
West Bengal,2016,Foodgrain_Distribution_Lakh_Tonnes,12.07,Synthetic data for visualization practice
West Bengal,2016,Coverage_Percent,86.82,Synthetic data for visualization practice
West Bengal,2016,Utilization_Percent,83.51,Synthetic data for visualization practice
Delhi,2016,Beneficiaries_Lakh,33.66,Synthetic data for visualization practice
Delhi,2016,Foodgrain_Allocation_Lakh_Tonnes,17.55,Synthetic data for visualization practice
Delhi,2016,Foodgrain_Distribution_Lakh_Tonnes,17.2,Synthetic data for visualization practice
Delhi,2016,Coverage_Percent,87.24,Synthetic data for visualization practice
Delhi,2016,Utilization_Percent,98.0,Synthetic data for visualization practice
Jammu and Kashmir,2016,Beneficiaries_Lakh,4.55,Synthetic data for visualization practice
Jammu and Kashmir,2016,Foodgrain_Allocation_Lakh_Tonnes,2.36,Synthetic data for visualization practice
Jammu and Kashmir,2016,Foodgrain_Distribution_Lakh_Tonnes,1.94,Synthetic data for visualization practice
Jammu and Kashmir,2016,Coverage_Percent,64.42,Synthetic data for visualization practice
Jammu and Kashmir,2016,Utilization_Percent,82.39,Synthetic data for visualization practice
Andhra Pradesh,2017,Beneficiaries_Lakh,33.69,Synthetic data for visualization practice
Andhra Pradesh,2017,Foodgrain_Allocation_Lakh_Tonnes,16.48,Synthetic data for visualization practice
Andhra Pradesh,2017,Foodgrain_Distribution_Lakh_Tonnes,14.62,Synthetic data for visualization practice
Andhra Pradesh,2017,Coverage_Percent,71.14,Synthetic data for visualization practice
Andhra Pradesh,2017,Utilization_Percent,88.68,Synthetic data for visualization practice
Arunachal Pradesh,2017,Beneficiaries_Lakh,21.03,Synthetic data for visualization practice
Arunachal Pradesh,2017,Foodgrain_Allocation_Lakh_Tonnes,11.05,Synthetic data for visualization practice
Arunachal Pradesh,2017,Foodgrain_Distribution_Lakh_Tonnes,9.41,Synthetic data for visualization practice
Arunachal Pradesh,2017,Coverage_Percent,69.69,Synthetic data for visualization practice
Arunachal Pradesh,2017,Utilization_Percent,85.18,Synthetic data for visualization practice
Assam,2017,Beneficiaries_Lakh,5.95,Synthetic data for visualization practice
Assam,2017,Foodgrain_Allocation_Lakh_Tonnes,2.78,Synthetic data for visualization practice
Assam,2017,Foodgrain_Distribution_Lakh_Tonnes,2.32,Synthetic data for visualization practice
Assam,2017,Coverage_Percent,73.06,Synthetic data for visualization practice
Assam,2017,Utilization_Percent,83.38,Synthetic data for visualization practice
Bihar,2017,Beneficiaries_Lakh,28.46,Synthetic data for visualization practice
Bihar,2017,Foodgrain_Allocation_Lakh_Tonnes,16.77,Synthetic data for visualization practice
Bihar,2017,Foodgrain_Distribution_Lakh_Tonnes,15.41,Synthetic data for visualization practice
Bihar,2017,Coverage_Percent,82.55,Synthetic data for visualization practice
Bihar,2017,Utilization_Percent,91.89,Synthetic data for visualization practice
Chhattisgarh,2017,Beneficiaries_Lakh,12.94,Synthetic data for visualization practice
Chhattisgarh,2017,Foodgrain_Allocation_Lakh_Tonnes,7.0,Synthetic data for visualization practice
Chhattisgarh,2017,Foodgrain_Distribution_Lakh_Tonnes,5.96,Synthetic data for visualization practice
Chhattisgarh,2017,Coverage_Percent,75.68,Synthetic data for visualization practice
Chhattisgarh,2017,Utilization_Percent,85.18,Synthetic data for visualization practice
Goa,2017,Beneficiaries_Lakh,32.15,Synthetic data for visualization practice
Goa,2017,Foodgrain_Allocation_Lakh_Tonnes,19.78,Synthetic data for visualization practice
Goa,2017,Foodgrain_Distribution_Lakh_Tonnes,17.7,Synthetic data for visualization practice
Goa,2017,Coverage_Percent,68.66,Synthetic data for visualization practice
Goa,2017,Utilization_Percent,89.47,Synthetic data for visualization practice
